,note_name,start_time,duration,velocity,tempo
566,A2,141.105,1673/1000,94,120.0
567,C#4,141.641,577/1000,63,120.0
568,A3,142.195,58/125,59,120.0
569,E4,142.195,277/1000,47,120.0
570,C#4,142.218,67/125,71,120.0
571,A3,142.755,327/1000,54,120.0
572,C#4,142.755,257/500,78,120.0
573,A2,142.755,257/500,78,120.0
574,A2,143.291,577/1000,68,120.0
575,A3,143.291,577/1000,68,120.0
576,C#4,143.291,577/1000,68,120.0
577,A3,143.845,31/200,69,120.0
578,A2,143.845,31/200,68,120.0
579,E4,143.845,31/200,68,120.0
580,C#4,143.868,33/250,65,120.0
581,E4,143.868,33/250,65,120.0
582,A3,144.0,9/20,69,120.0
583,C#4,144.0,157/500,65,120.0
584,E4,144.0,157/500,65,120.0
585,A2,144.0,291/1000,68,120.0
586,E4,144.0,291/1000,68,120.0
587,D3,144.427,791/500,90,120.0
588,A3,144.427,791/500,90,120.0
589,D4,144.45,1323/1000,60,120.0
590,F#4,144.45,191/200,74,120.0
591,B3,146.145,21/20,81,120.0
592,G2,146.168,1627/1000,87,120.0
593,D4,146.168,139/200,50,120.0
594,F#4,146.168,121/200,71,120.0
595,G3,146.75,117/250,47,120.0
596,G3,147.218,577/1000,55,120.0
597,G2,147.795,41/200,87,120.0
598,G3,147.795,41/200,72,120.0
599,B3,147.795,41/200,90,120.0
600,D4,147.795,41/200,69,120.0
601,G2,148.0,841/1000,87,120.0
602,G3,148.0,309/1000,72,120.0
603,B3,148.0,79/125,90,120.0
604,D4,148.0,423/1000,69,120.0
605,A2,148.914,577/1000,100,120.0
606,A3,148.914,627/1000,72,120.0
607,C#4,148.914,627/1000,72,120.0
608,A2,149.491,61/200,67,120.0
609,A3,149.586,58/125,99,120.0
610,A3,150.05,559/500,93,120.0
611,C#4,150.05,209/200,94,120.0
612,A2,150.073,277/1000,33,120.0
613,E4,150.073,909/1000,76,120.0
614,A3,151.168,133/250,82,120.0
615,D4,151.168,133/250,82,120.0
616,D3,151.168,133/250,82,120.0
617,F#4,151.168,133/250,82,120.0
618,D3,151.723,277/1000,80,120.0
619,A3,151.723,277/1000,80,120.0
620,D4,151.723,277/1000,80,120.0
621,F#4,151.723,277/1000,80,120.0
622,D3,152.0,141/500,80,120.0
623,A3,152.0,141/500,80,120.0
624,D4,152.0,141/500,80,120.0
625,F#4,152.0,141/500,80,120.0
626,D3,152.282,291/500,78,120.0
627,A3,152.282,291/500,78,120.0
628,D4,152.282,291/500,78,120.0
629,F#4,152.282,291/500,78,120.0
630,A3,152.836,577/1000,76,120.0
631,D4,152.836,577/1000,76,120.0
632,D3,152.836,577/1000,76,120.0
633,F#4,152.864,359/500,71,120.0
634,B3,153.418,327/1000,65,120.0
635,B2,153.418,67/125,90,120.0
636,D4,153.418,67/125,90,120.0
637,B3,153.955,577/1000,74,120.0
638,D4,153.955,577/1000,74,120.0
639,F#4,153.955,577/1000,74,120.0
640,B2,153.955,577/1000,74,120.0
641,B3,154.532,541/1000,74,120.0
642,D4,154.532,541/1000,74,120.0
643,F#4,154.532,541/1000,74,120.0
644,B2,154.532,541/1000,74,120.0
645,B3,155.068,209/500,78,120.0
646,F#4,155.095,393/500,59,120.0
647,B2,155.095,243/500,83,120.0
648,D4,155.095,243/500,83,120.0
649,F#2,155.627,373/1000,90,120.0
650,A3,155.627,373/1000,90,120.0
651,F#3,155.65,7/20,48,120.0
652,F#2,156.0,41/250,90,120.0
653,A3,156.0,41/250,90,120.0
654,F#3,156.186,323/1000,42,120.0
655,A3,156.186,111/200,79,120.0
656,F#2,156.186,111/200,79,120.0
657,F#4,156.186,111/200,79,120.0
658,F#3,156.764,61/200,46,120.0
659,F#2,156.764,559/1000,80,120.0
660,A3,156.764,559/1000,80,120.0
661,F#4,156.764,559/1000,80,120.0
662,F#2,157.323,291/500,78,120.0
663,A3,157.323,291/500,78,120.0
664,F#4,157.323,291/500,78,120.0
665,F#2,157.882,111/200,75,120.0
666,A3,157.882,111/200,75,120.0
667,F#4,157.882,111/200,75,120.0
668,C#4,158.459,96/125,54,120.0
669,F#2,158.459,559/1000,77,120.0
670,A3,158.459,559/1000,77,120.0
671,F#4,158.459,559/1000,77,120.0
672,F#2,158.995,559/1000,78,120.0
673,A3,158.995,559/1000,78,120.0
674,F#4,158.995,559/1000,78,120.0
675,F#2,159.555,441/1000,72,120.0
676,A3,159.555,441/1000,72,120.0
677,C#4,159.555,441/1000,72,120.0
678,F#4,159.555,441/1000,72,120.0
679,G2,160.114,111/200,72,120.0
680,B3,160.114,111/200,72,120.0
681,D4,160.114,111/200,72,120.0
682,G3,160.114,111/200,72,120.0
683,G3,160.691,67/125,71,120.0
684,B3,160.691,67/125,71,120.0
685,D4,160.691,67/125,71,120.0
686,G2,160.691,67/125,71,120.0
687,B3,161.25,559/1000,73,120.0
688,G2,161.25,559/1000,73,120.0
689,G3,161.25,559/1000,73,120.0
690,D4,161.25,559/1000,73,120.0
691,G2,161.832,111/200,75,120.0
692,G3,161.832,111/200,75,120.0
693,B3,161.832,111/200,75,120.0
694,D4,161.832,111/200,75,120.0
695,G3,162.364,67/125,74,120.0
696,B3,162.364,67/125,74,120.0
697,G2,162.364,67/125,74,120.0
698,D4,162.364,67/125,74,120.0
699,G3,162.923,559/1000,76,120.0
700,B3,162.923,559/1000,76,120.0
701,D4,162.923,559/1000,76,120.0
702,G2,162.923,559/1000,76,120.0
703,G3,163.482,259/500,76,120.0
704,B3,163.482,259/500,76,120.0
705,D4,163.482,259/500,76,120.0
